sym_i,anchor,minute,raw_score,cal_score,rv30,comb,side,fired,symbol
0.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,10.29615556698705,0.7517283950617284,-1.0,0.0,ADAUSDT
1.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,6.95340467073039,0.64375,-1.0,0.0,AVAXUSDT
2.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,4.745861307572461,0.5225655864197531,-1.0,0.0,BNBUSDT
3.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,6.501949982790278,0.6229243827160493,-1.0,0.0,BTCUSDT
4.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,9.58475150457124,0.7339390432098766,-1.0,0.0,DOGEUSDT
5.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,16.690692523793885,0.8296103395061729,-1.0,0.0,DOTUSDT
6.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,8.087177701802377,0.6881712962962963,-1.0,0.0,ETHUSDT
7.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,9.4503583372501,0.7305902777777777,-1.0,0.0,LINKUSDT
8.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,13.223913166236722,0.8024614197530864,-1.0,0.0,SOLUSDT
9.0,1787788800000.0,10.0,0.49831950952759685,0.4724039247751431,12.017434706785728,0.7858912037037037,-1.0,0.0,XRPUSDT
0.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,10.617764262182915,0.5981481481481482,-1.0,0.0,ADAUSDT
1.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,7.278211900803441,0.49661651234567905,-1.0,0.0,AVAXUSDT
2.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,4.73246601173579,0.36114583333333333,-1.0,0.0,BNBUSDT
3.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,5.207303168119551,0.391875,-1.0,0.0,BTCUSDT
4.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,9.332334170962469,0.5667515432098765,-1.0,0.0,DOGEUSDT
5.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,21.03932965947769,0.6824228395061729,-1.0,0.0,DOTUSDT
6.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,7.628732308270086,0.5107793209876543,-1.0,0.0,ETHUSDT
7.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,9.618706084680829,0.5742631172839506,-1.0,0.0,LINKUSDT
8.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,14.687999199373857,0.6561844135802469,-1.0,0.0,SOLUSDT
9.0,1787788800000.0,30.0,0.49889963715523294,0.46971854123316176,10.588487705107685,0.5975925925925926,-1.0,0.0,XRPUSDT
0.0,1787788800000.0,60.0,0.49880838904577945,0.4911013081837542,6.9258395734829445,0.5396990740740741,-1.0,0.0,ADAUSDT
1.0,1787788800000.0,60.0,0.49880838904577945,0.4911013081837542,5.619880442486074,0.47389660493827157,-1.0,0.0,AVAXUSDT
2.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,3.624583454688994,0.09652006172839506,1.0,0.0,BNBUSDT
3.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,3.7420832686847385,0.10412808641975309,1.0,0.0,BTCUSDT
4.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,5.2975120748805775,0.20522376543209878,1.0,0.0,DOGEUSDT
5.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,14.614103867464225,0.4634336419753086,1.0,0.0,DOTUSDT
6.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,4.562208669050027,0.15834490740740742,1.0,0.0,ETHUSDT
7.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,6.265310796257692,0.2584837962962963,1.0,0.0,LINKUSDT
8.0,1787788800000.0,60.0,0.5000535894532732,0.4911013081837542,7.403117090265784,0.3096720679012346,1.0,0.0,SOLUSDT
9.0,1787788800000.0,60.0,0.49880838904577945,0.4911013081837542,7.842642093492473,0.5765316358024691,-1.0,0.0,XRPUSDT
0.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,9.74941404393634,0.6629475308641974,-1.0,0.0,ADAUSDT
1.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,6.683161452386109,0.5560108024691357,-1.0,0.0,AVAXUSDT
2.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,4.746132267542594,0.4470563271604938,-1.0,0.0,BNBUSDT
3.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,5.5602526351393715,0.49731867283950615,-1.0,0.0,BTCUSDT
4.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,10.277610767269806,0.6756944444444444,-1.0,0.0,DOGEUSDT
5.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,13.299730921173614,0.7277044753086419,-1.0,0.0,DOTUSDT
6.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,7.490700427919485,0.5901427469135803,-1.0,0.0,ETHUSDT
7.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,9.033889880568767,0.6428858024691357,-1.0,0.0,LINKUSDT
8.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,10.136779249575588,0.6720601851851852,-1.0,0.0,SOLUSDT
9.0,1787788800000.0,120.0,0.4987799120372269,0.49206732705162276,12.553454543965152,0.7181674382716049,-1.0,0.0,XRPUSDT
0.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,6.426693608915675,0.48490740740740745,-1.0,0.0,ADAUSDT
1.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,5.207152467964641,0.41813657407407406,-1.0,0.0,AVAXUSDT
2.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,3.2349895320671664,0.29118055555555555,-1.0,0.0,BNBUSDT
3.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,3.1251289717423916,0.28497299382716046,-1.0,0.0,BTCUSDT
4.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,5.141081957791277,0.41412037037037036,-1.0,0.0,DOGEUSDT
5.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,8.260613747004422,0.5599807098765432,-1.0,0.0,DOTUSDT
6.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,3.586754603372182,0.31223765432098766,-1.0,0.0,ETHUSDT
7.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,4.341613646039598,0.3618827160493827,-1.0,0.0,LINKUSDT
8.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,7.63975362096756,0.5374344135802469,-1.0,0.0,SOLUSDT
9.0,1787788800000.0,240.0,0.4988182764198845,0.4771512980074172,6.604876767424304,0.49336419753086413,-1.0,0.0,XRPUSDT
0.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,8.713942831148316,0.43735725308641976,-1.0,0.0,ADAUSDT
1.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,5.8023851019881985,0.3148726851851852,-1.0,0.0,AVAXUSDT
2.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,3.5457600179956117,0.17234953703703704,-1.0,0.0,BNBUSDT
3.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,3.7125181716162317,0.18306712962962962,-1.0,0.0,BTCUSDT
4.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,5.714883823740854,0.3100887345679012,-1.0,0.0,DOGEUSDT
5.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,7.067553532651347,0.37655092592592593,-1.0,0.0,DOTUSDT
6.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,4.371941081473934,0.22633873456790124,-1.0,0.0,ETHUSDT
7.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,6.427812585890206,0.3474614197530864,-1.0,0.0,LINKUSDT
8.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,9.236940107044438,0.4529050925925926,-1.0,0.0,SOLUSDT
9.0,1787788800000.0,480.0,0.4995449746082872,0.4881711365193108,7.4302586255602785,0.39155092592592594,-1.0,0.0,XRPUSDT
0.0,1787792400000.0,10.0,0.5015126490274489,0.5130331753554502,8.315180092555723,0.6679320987654321,1.0,0.0,ADAUSDT
1.0,1787792400000.0,10.0,0.5015126490274489,0.5130331753554502,6.713862394174948,0.6051466049382717,1.0,0.0,AVAXUSDT
2.0,1787792400000.0,10.0,0.49983152021079746,0.4724039247751431,3.8689616509767015,0.1496412037037037,-1.0,0.0,BNBUSDT
3.0,1787792400000.0,10.0,0.5015126490274489,0.5130331753554502,4.035865987970514,0.4478240740740741,1.0,0.0,BTCUSDT
4.0,1787792400000.0,10.0,0.5015126490274489,0.5130331753554502,6.7612519866330265,0.6072530864197532,1.0,0.0,DOGEUSDT
5.0,1787792400000.0,10.0,0.49983152021079746,0.4724039247751431,15.532611093555731,0.5069637345679012,-1.0,0.0,DOTUSDT
6.0,1787792400000.0,10.0,0.49983152021079746,0.4724039247751431,5.667654966683767,0.2634375,-1.0,0.0,ETHUSDT
7.0,1787792400000.0,10.0,0.49983152021079746,0.4724039247751431,6.8907414430189835,0.3250733024691358,-1.0,0.0,LINKUSDT
8.0,1787792400000.0,10.0,0.49983152021079746,0.4724039247751431,7.666371358778188,0.3569097222222222,-1.0,0.0,SOLUSDT
