sym_i,anchor,minute,raw_score,rv30,comb,symbol
0.0,1787925600000,10,0.504257099852305,21.689235803017382,0.9780902777777778,ADAUSDT
1.0,1787925600000,10,0.504257099852305,17.23788258766823,0.9661844135802469,AVAXUSDT
4.0,1787925600000,10,0.504257099852305,19.206943146952696,0.9728317901234568,DOGEUSDT
5.0,1787925600000,10,0.504257099852305,19.906581803462316,0.9747067901234567,DOTUSDT
7.0,1787925600000,10,0.504257099852305,19.919911650087407,0.9747685185185184,LINKUSDT
8.0,1787925600000,10,0.504257099852305,21.380143336033175,0.977650462962963,SOLUSDT
9.0,1787925600000,10,0.504257099852305,23.640152119863895,0.9805362654320988,XRPUSDT
0.0,1787932800000,10,0.504257099852305,21.7159526156677,0.9781172839506173,ADAUSDT
5.0,1787932800000,10,0.504257099852305,17.339651202738256,0.9665277777777778,DOTUSDT
0.0,1788130800000,30,0.5042276941043133,24.18566025414834,0.9793981481481482,ADAUSDT
1.0,1788130800000,30,0.5042276941043133,21.594273975033264,0.9763001543209877,AVAXUSDT
4.0,1788130800000,30,0.5042276941043133,21.967489001836327,0.9769521604938272,DOGEUSDT
5.0,1788130800000,30,0.5042276941043133,20.62234707735479,0.9745833333333334,DOTUSDT
7.0,1788130800000,30,0.5042276941043133,20.906538288465853,0.9752276234567901,LINKUSDT
8.0,1788130800000,30,0.5042276941043133,17.981376988358274,0.9674151234567901,SOLUSDT
9.0,1788130800000,30,0.5042276941043133,17.870742416796787,0.9670331790123456,XRPUSDT
5.0,1788278400000,120,0.5038805532308103,24.285966177804127,0.9678009259259259,DOTUSDT
7.0,1788350400000,120,0.5040544269756221,20.25292047025834,0.9665625,LINKUSDT
5.0,1788519600000,120,0.5038805532308103,23.408123143010634,0.9669135802469135,DOTUSDT
5.0,1788786000000,120,0.5038805532308103,35.07334238348891,0.9722106481481481,DOTUSDT
5.0,1788789600000,30,0.5042276941043133,41.89642681712905,0.9845524691358025,DOTUSDT
5.0,1788793200000,30,0.5042276941043133,26.362494638774578,0.9810956790123457,DOTUSDT
5.0,1788796800000,30,0.5042276941043133,35.85171427348514,0.9840162037037037,DOTUSDT
5.0,1788800400000,30,0.5042276941043133,28.910021578919444,0.9823070987654321,DOTUSDT
5.0,1788804000000,30,0.5042276941043133,25.968264214387982,0.9809104938271604,DOTUSDT
5.0,1788807600000,30,0.5042276941043133,19.046155048394894,0.9708719135802469,DOTUSDT
0.0,1788876000000,10,0.5041869780714292,20.3469332851048,0.969182098765432,ADAUSDT
4.0,1788969600000,240,0.5049135661038684,20.062400442386547,0.9816666666666667,DOGEUSDT
0.0,1788991200000,10,0.5041869780714292,23.464959552857245,0.9738657407407407,ADAUSDT
1.0,1788991200000,10,0.5041869780714292,24.06997137165148,0.9744791666666667,AVAXUSDT
4.0,1788991200000,10,0.5041869780714292,20.719256952368355,0.970054012345679,DOGEUSDT
5.0,1788991200000,10,0.5041869780714292,21.425894851052654,0.9712345679012346,DOTUSDT
0.0,1789045200000,10,0.5041869780714292,23.290832594040243,0.9736998456790124,ADAUSDT
0.0,1789128000000,30,0.5042276941043133,18.65736672027258,0.9696797839506173,ADAUSDT
5.0,1789128000000,30,0.5042276941043133,17.912417095723896,0.9672145061728395,DOTUSDT
6.0,1789128000000,30,0.5042276941043133,20.33307760790766,0.973966049382716,ETHUSDT
7.0,1789128000000,30,0.5042276941043133,19.246156399191914,0.9712924382716049,LINKUSDT
8.0,1789128000000,30,0.5042276941043133,20.552672312155856,0.9744212962962964,SOLUSDT
